iter	Passed	Remaining
0	65	6518
1	73	3615
2	80	2608
3	87	2102
4	94	1801
5	101	1593
6	109	1449
7	115	1328
8	122	1239
9	129	1163
10	136	1104
11	143	1052
12	150	1005
13	156	964
14	164	929
15	171	897
16	177	868
17	184	840
18	192	818
19	199	796
20	206	775
21	213	755
22	219	735
23	226	716
24	233	699
25	239	682
26	246	666
27	253	651
28	260	636
29	266	622
30	273	609
31	280	595
32	287	582
33	293	569
34	299	556
35	306	545
36	313	533
37	320	522
38	326	510
39	332	499
40	339	488
41	345	477
42	352	466
43	358	456
44	365	446
45	371	435
46	378	426
47	384	416
48	391	407
49	398	398
50	405	389
51	412	380
52	419	371
53	426	363
54	432	354
55	438	344
56	446	336
57	452	327
58	459	319
59	466	311
60	473	302
61	480	294
62	487	286
63	494	277
64	500	269
65	507	261
66	514	253
67	521	245
68	527	237
69	534	229
70	542	221
71	548	213
72	555	205
73	561	197
74	568	189
75	576	181
76	580	173
77	587	165
78	593	157
79	598	149
80	605	141
81	612	134
82	618	126
83	625	119
84	632	111
85	639	104
86	646	96
87	652	89
88	660	81
89	666	74
90	673	66
91	680	59
92	686	51
93	692	44
94	699	36
95	705	29
96	712	22
97	719	14
98	725	7
99	732	0
